1985019

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.26
2                       1.25
4                       1.26
8                       1.25
16                      1.26
32                      1.34
64                      1.34
128                     1.36
256                     1.41
512                     1.50
1024                    1.64
2048                    1.96
4096                    2.47
8192                    3.63
16384                   4.54
32768                  14.05
65536                  17.96
131072                 23.39
262144                 34.35
524288                 58.43
1048576               115.82
2097152               216.92
4194304               417.36
