1988827

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.26
2                       1.25
4                       1.25
8                       1.25
16                      1.25
32                      1.34
64                      1.34
128                     1.36
256                     1.41
512                     1.49
1024                    1.64
2048                    1.95
4096                    2.46
8192                    3.63
16384                   4.52
32768                  14.00
65536                  17.87
131072                 23.33
262144                 34.37
524288                 58.48
1048576               119.28
2097152               220.43
4194304               418.38
