1981759

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.26
2                       1.26
4                       1.25
8                       1.25
16                      1.25
32                      1.35
64                      1.34
128                     1.37
256                     1.41
512                     1.51
1024                    1.65
2048                    1.95
4096                    2.46
8192                    3.64
16384                   4.55
32768                  14.22
65536                  18.09
131072                 23.63
262144                 34.68
524288                 58.91
1048576               119.54
2097152               222.51
4194304               433.57
