1983928

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.26
2                       1.25
4                       1.26
8                       1.26
16                      1.25
32                      1.33
64                      1.34
128                     1.41
256                     1.41
512                     1.50
1024                    1.64
2048                    1.93
4096                    2.45
8192                    3.61
16384                   4.52
32768                  14.02
65536                  17.89
131072                 23.40
262144                 34.42
524288                 58.58
1048576               119.35
2097152               221.32
4194304               422.10
