3249026

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     155.71            111.64            104.87             57.98
2                     239.14            137.38            129.15             21.21
4                     326.79            276.38            260.21             80.63
8                     213.76            177.20            166.67             78.06
16                    111.15             81.04             76.04             60.40
32                    254.98            149.47            140.56             24.93
64                    234.29            200.13            188.29             81.86
128                   189.12            116.33            109.31             33.41
256                   202.69            150.81            141.81             63.41
512                   131.47            100.35             94.22             66.97
1024                  181.53            131.04            123.16             59.01
2048                  219.35            151.69            142.63             52.56
4096                  164.74            123.67            116.20             64.66
8192                  306.73            174.74            164.36             19.70
16384                 302.83            162.17            152.50              7.76
32768                 674.76            340.16            320.30              0.00
65536                 711.25            316.49            298.01              0.00
131072                877.52            355.04            334.01              0.00
262144               1199.56            645.72            608.33              8.96
