3246820

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     159.80            122.78            115.39             67.92
2                     171.08            129.75            121.97             66.12
4                     158.47            110.82            104.09             54.22
8                     198.75            165.80            155.92             78.86
16                    155.80            102.95             96.69             45.34
32                    228.73            153.98            144.77             48.36
64                    217.32            131.14            123.26             30.08
128                   166.24            126.21            118.61             66.26
256                   171.14            119.07            111.88             53.46
512                   177.91            122.10            114.71             51.35
1024                  198.07            149.54            140.59             65.49
2048                  127.76            103.17             96.88             74.62
4096                  162.21            127.56            119.89             71.10
8192                  146.47             96.73             90.82             45.23
16384                 357.73            186.50            175.40              2.38
32768                 650.14            337.70            317.53              1.60
65536                 746.41            340.07            320.18              0.00
131072                899.63            464.70            437.72              0.64
262144               1166.00            570.99            537.93              0.00
