3244130

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     197.13            134.74            126.65             50.74
2                     255.77            150.02            141.05             25.02
4                     226.03            184.71            173.77             76.22
8                     197.53            155.79            146.49             71.51
16                    177.09            135.54            127.42             67.39
32                    298.08            173.78            163.45             23.95
64                    209.48            163.17            153.47             69.83
128                   262.06            134.07            126.04              0.00
256                   243.35            178.69            168.08             61.53
512                   180.39            116.76            109.72             42.00
1024                  139.26             68.89             64.58              0.00
2048                  173.05             71.09             66.67              0.00
4096                  207.12            131.66            123.75             39.03
8192                  340.88            162.04            152.39              0.00
16384                 240.85            114.97            108.01              0.00
32768                 660.51            329.23            309.99              0.00
65536                 619.62            260.99            245.71              0.00
131072                863.11            413.55            389.57              0.00
262144               1301.07            607.57            572.44              0.00
