3246075

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     156.14            109.37            102.76             54.49
2                     251.54            217.91            205.06             83.60
4                     141.46            106.66            100.21             65.27
8                     242.95            127.70            120.01              3.97
16                    172.77            118.91            111.74             51.80
32                    322.38            198.76            187.01             33.90
64                    279.17            246.53            232.03             85.93
128                   132.15            112.36            105.55             81.25
256                    97.92             55.65             52.13             18.92
512                   168.99            123.48            116.03             60.78
1024                  173.88            116.55            109.53             47.66
2048                  224.68            138.60            130.28             33.93
4096                  254.35            194.37            182.87             67.20
8192                  214.15            125.86            118.28             25.36
16384                 219.49            132.23            124.30             29.80
32768                 696.44            357.68            336.85              0.00
65536                 658.61            279.11            262.81              0.00
131072                851.72            453.73            427.54              6.91
262144               1130.00            599.56            564.83              6.09
