3242028

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     171.41            125.47            117.95             61.05
2                     143.87             98.88             92.85             51.54
4                     204.89            109.83            103.18              7.87
8                     156.29            120.02            112.80             67.84
16                    179.53            133.93            125.91             63.78
32                    168.18            116.18            109.18             52.38
64                    147.49             89.08             83.62             30.14
128                   180.21            148.76            139.88             77.51
256                   177.70            129.12            121.36             59.97
512                   141.74             97.29             91.34             51.34
1024                  197.89            131.12            123.24             45.82
2048                  200.06            141.21            132.78             55.68
4096                  125.47            102.97             96.69             76.73
8192                  162.57             92.89             87.18             20.08
16384                 291.72            155.52            146.21              6.84
32768                 667.92            341.47            321.52              0.00
65536                 703.40            321.97            303.22              0.00
131072                886.58            388.43            365.89              0.00
262144               1172.08            588.85            554.87              0.00
