3249750

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     159.12            118.80            111.66             63.89
2                     168.09            139.93            131.57             78.60
4                     139.57             98.45             92.42             55.50
8                     187.11            124.78            117.26             46.85
16                    212.18            134.89            126.81             39.05
32                    212.30            151.38            142.37             57.21
64                    163.45            135.82            127.67             78.35
128                   218.88            162.29            152.65             62.93
256                   217.78            156.00            146.71             57.89
512                   190.25            164.12            154.38             83.08
1024                  176.01            123.27            115.85             54.48
2048                  138.57            111.76            105.01             74.47
4096                  144.39            105.41             99.00             60.63
8192                  281.93            173.39            163.09             33.45
16384                 297.27            154.76            145.52              2.07
32768                 613.00            325.49            306.47              6.19
65536                 585.50            206.13            193.97              0.00
131072                864.15            455.52            429.10              4.77
262144               1200.19            604.79            569.91              0.00
