4184578
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.39        3387282.87
2                       6.73        3365778.03
4                      13.58        3394182.90
8                      26.96        3370317.30
16                     53.94        3371160.56
32                    100.49        3140211.93
64                    203.52        3179944.09
128                   398.59        3113952.16
256                   801.98        3132747.74
512                  1510.79        2950767.82
1024                 2644.68        2582696.74
2048                 4112.69        2008148.69
4096                 5797.60        1415428.79
8192                 6598.69         805504.52
16384                5268.00         321533.10
32768                2869.50          87570.34
65536                5513.26          84125.60
131072               9495.46          72444.64
262144              11174.55          42627.54
524288              11450.08          21839.29
1048576             10969.58          10461.40
2097152             11034.33           5261.58
4194304             11024.95           2628.55
