4187798
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.05        3046381.64
2                       6.83        3412547.08
4                      13.74        3435592.31
8                      27.05        3381184.13
16                     55.02        3439018.68
32                    102.97        3217656.89
64                    204.74        3199097.85
128                   400.83        3131452.50
256                   803.57        3138930.54
512                  1508.25        2945807.72
1024                 2639.27        2577407.81
2048                 4137.10        2020068.75
4096                 5822.94        1421616.61
8192                 6531.53         797305.61
16384                5284.42         322535.53
32768                2870.00          87585.42
65536                5505.58          84008.54
131072               9458.61          72163.50
262144              11171.33          42615.24
524288              11443.91          21827.53
1048576             10956.97          10449.38
2097152             11036.77           5262.74
4194304             10990.32           2620.30
