4187210
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.35        3345677.49
2                       6.71        3357056.53
4                      13.57        3391429.22
8                      27.33        3416491.08
16                     55.09        3443320.52
32                    100.64        3144947.69
64                    205.27        3207364.11
128                   404.16        3157518.74
256                   806.78        3151465.85
512                  1495.45        2920795.33
1024                 2629.89        2568256.43
2048                 4070.62        1987605.42
4096                 5750.37        1403898.23
8192                 6687.16         816303.62
16384                5131.32         313191.21
32768                2957.56          90257.44
65536                5362.13          81819.64
131072               9637.87          73531.08
262144              11199.09          42721.14
524288              11356.63          21661.05
1048576             11005.41          10495.58
2097152             10992.22           5241.50
4194304             11064.83           2638.06
