4186339
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.34        3338232.89
2                       6.71        3353628.02
4                      13.59        3397332.35
8                      27.35        3418275.70
16                     55.10        3443854.15
32                     99.68        3114890.30
64                    205.46        3210261.60
128                   397.67        3106835.33
256                   786.48        3072198.10
512                  1469.96        2871021.17
1024                 2625.80        2564259.75
2048                 4089.94        1997041.26
4096                 5754.41        1404885.62
8192                 6609.83         806864.60
16384                5140.20         313733.13
32768                2873.66          87697.00
65536                5509.44          84067.35
131072               9068.66          69188.36
262144              11174.10          42625.82
524288              11449.17          21837.56
1048576             10940.53          10433.71
2097152             11027.83           5258.48
4194304             10972.64           2616.08
