4186913
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.38        3378833.19
2                       6.77        3385242.14
4                      13.68        3420552.07
8                      26.61        3326282.31
16                     54.16        3385276.16
32                    101.11        3159708.97
64                    204.21        3190750.02
128                   400.51        3129012.10
256                   788.33        3079417.70
512                  1506.35        2942081.00
1024                 2641.91        2579994.96
2048                 4120.96        2012188.20
4096                 5817.25        1420226.96
8192                 6555.06         800178.24
16384                5267.13         321480.37
32768                2958.41          90283.37
65536                5367.22          81897.28
131072               9627.24          73450.00
262144              11202.33          42733.51
524288              11462.43          21862.85
1048576             10968.53          10460.40
2097152             11003.37           5246.82
4194304             11008.37           2624.60
