4186140
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.43        3433927.74
2                       6.79        3394191.90
4                      13.45        3363524.47
8                      27.21        3401855.93
16                     54.30        3393642.96
32                    100.78        3149302.53
64                    205.22        3206615.25
128                   398.57        3113830.96
256                   795.83        3108706.61
512                  1498.22        2926201.21
1024                 2632.79        2571083.43
2048                 4109.81        2006744.54
4096                 5788.44        1413194.11
8192                 6602.13         805923.54
16384                5275.32         321979.98
32768                2872.65          87666.36
65536                5513.56          84130.19
131072               9476.99          72303.66
262144              11043.83          42128.87
524288              11432.92          21806.56
1048576             10948.60          10441.40
2097152             11035.67           5262.22
4194304             10972.43           2616.03
