4187305
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.40        3399696.47
2                       6.69        3346044.82
4                      13.40        3351104.66
8                      25.32        3164431.79
16                     54.38        3398674.62
32                    101.35        3167081.36
64                    204.37        3193223.98
128                   398.84        3115898.78
256                   790.16        3086570.09
512                  1464.70        2860732.82
1024                 2398.83        2342611.29
2048                 4054.36        1979667.58
4096                 5668.01        1383791.86
8192                 6436.41         785694.56
16384                5213.37         318198.68
32768                2953.51          90133.89
65536                5361.56          81810.95
131072               9637.70          73529.78
262144              11199.67          42723.34
524288              11452.82          21844.53
1048576             11009.35          10499.33
2097152             11000.57           5245.48
4194304             11059.74           2636.85
