4186434
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.32        3317860.35
2                       6.68        3338938.23
4                      13.47        3366822.70
8                      26.94        3367912.32
16                     53.63        3352106.88
32                    100.97        3155242.88
64                    206.29        3223246.05
128                   396.27        3095832.96
256                   793.10        3098056.89
512                  1497.90        2925595.26
1024                 2675.78        2613064.01
2048                 4119.81        2011624.04
4096                 5793.76        1414491.24
8192                 6576.74         802824.13
16384                5254.62         320716.64
32768                2871.66          87635.97
65536                5503.18          83971.91
131072               9483.71          72355.00
262144              11195.07          42705.81
524288              11463.19          21864.30
1048576             10958.07          10450.43
2097152             11044.51           5266.43
4194304             10989.91           2620.20
