4188387
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.40        3404862.04
2                       6.78        3392115.87
4                      13.73        3433529.81
8                      27.04        3379555.80
16                     54.47        3404115.90
32                    102.44        3201370.19
64                    201.88        3154300.49
128                   392.82        3068927.64
256                   792.69        3096460.55
512                  1525.61        2979707.26
1024                 2660.26        2597910.79
2048                 4115.09        2009321.37
4096                 5742.84        1402059.67
8192                 6533.82         797585.41
16384                5263.08         321232.71
32768                2876.45          87782.26
65536                5512.33          84111.48
131072               9468.60          72239.69
262144              11175.57          42631.40
524288              11447.01          21833.44
1048576             10955.91          10448.37
2097152             11045.03           5266.68
4194304             11010.39           2625.08
