4188189
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.36        3355947.53
2                       6.73        3366495.06
4                      13.68        3419448.22
8                      26.97        3370746.87
16                     53.94        3371041.59
32                    102.82        3213133.68
64                    208.39        3256167.26
128                   402.95        3148010.60
256                   807.72        3155138.66
512                  1490.16        2910476.03
1024                 2638.03        2576204.33
2048                 4137.46        2020242.83
4096                 5816.37        1420013.31
8192                 6561.12         800917.55
16384                5265.32         321369.76
32768                2960.20          90338.22
65536                5360.60          81796.27
131072               9644.04          73578.21
262144              11185.79          42670.41
524288              11350.32          21649.02
1048576             11011.97          10501.84
2097152             11017.06           5253.34
4194304             11024.00           2628.33
