4187888
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.39        3392847.77
2                       6.74        3369020.38
4                      13.58        3395373.17
8                      25.89        3236540.54
16                     54.40        3399855.40
32                    101.23        3163325.98
64                    203.09        3173339.19
128                   404.46        3159825.97
256                   802.70        3135562.62
512                  1486.45        2903225.07
1024                 2608.58        2547437.06
2048                 3806.99        1858883.98
4096                 5639.85        1376916.76
8192                 6604.43         806204.65
16384                5301.37         323569.98
32768                2866.73          87485.68
65536                5500.76          83934.88
131072               9493.39          72428.85
262144              11021.47          42043.56
524288              11467.41          21872.35
1048576             10963.03          10455.16
2097152             11049.02           5268.58
4194304             11033.56           2630.60
