4184385
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.36        3363335.34
2                       6.69        3347005.50
4                      13.42        3355273.68
8                      26.78        3347423.90
16                     46.88        2930123.87
32                    101.07        3158361.74
64                    203.33        3177064.77
128                   397.37        3104418.07
256                   787.37        3075676.54
512                  1496.95        2923729.49
1024                 2583.23        2522689.42
2048                 4068.53        1986586.20
4096                 5776.42        1410257.91
8192                 6486.34         791789.34
16384                4536.94         276912.88
32768                2870.86          87611.60
65536                5510.57          84084.66
131072               9484.09          72357.89
262144              11177.08          42637.19
524288              11446.23          21831.95
1048576             10945.68          10438.62
2097152             11027.57           5258.35
4194304             11028.15           2629.32
