4185739
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.38        3384488.47
2                       6.67        3337461.70
4                      13.59        3396636.37
8                      26.12        3265522.71
16                     54.61        3412821.87
32                    101.43        3169815.43
64                    204.61        3196972.47
128                   395.69        3091340.91
256                   796.58        3111635.77
512                  1471.65        2874311.74
1024                 2577.55        2517136.19
2048                 4058.55        1981712.51
4096                 5717.04        1395762.29
8192                 6419.88         783676.80
16384                5254.40         320703.25
32768                2869.49          87569.84
65536                5501.97          83953.41
131072               9482.22          72343.63
262144              11178.36          42642.05
524288              11463.40          21864.71
1048576             10943.86          10436.88
2097152             11025.01           5257.13
4194304             10983.92           2618.77
