4184768
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.40        3396836.48
2                       6.68        3338346.07
4                      13.60        3400576.19
8                      27.03        3379218.55
16                     53.88        3367494.11
32                    101.98        3186811.38
64                    207.28        3238789.36
128                   402.45        3144152.00
256                   789.63        3084499.38
512                  1502.86        2935264.13
1024                 2645.43        2583423.38
2048                 4156.22        2029405.45
4096                 5789.17        1413371.38
8192                 6539.15         798236.60
16384                5236.21         319592.90
32768                2872.39          87658.48
65536                5507.08          84031.32
131072               9468.88          72241.79
262144              11175.55          42631.34
524288              11427.28          21795.80
1048576             10978.40          10469.82
2097152             11051.14           5269.60
4194304             11009.58           2624.89
