4185456
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.35        3354389.11
2                       6.75        3376636.94
4                      12.91        3228055.03
8                      27.35        3419205.25
16                     53.75        3359631.20
32                    101.10        3159429.76
64                    204.08        3188686.54
128                   398.95        3116797.10
256                   793.79        3100725.62
512                  1495.02        2919958.46
1024                 2602.33        2541336.43
2048                 4064.00        1984375.52
4096                 5759.46        1406118.42
8192                 6433.82         785378.03
16384                5283.62         322486.35
32768                2958.48          90285.53
65536                5361.47          81809.60
131072               9625.70          73438.23
262144              11206.95          42751.13
524288              11455.94          21850.47
1048576             10961.90          10454.08
2097152             10992.81           5241.78
4194304             11022.14           2627.88
