4185542
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.37        3368380.28
2                       6.65        3325753.39
4                      13.50        3375883.53
8                      26.57        3320978.26
16                     54.27        3391939.69
32                    100.87        3152302.51
64                    202.34        3161608.59
128                   395.84        3092512.01
256                   788.99        3082000.97
512                  1477.36        2885465.50
1024                 2577.03        2516632.38
2048                 4112.67        2008139.24
4096                 5704.80        1392774.03
8192                 6469.38         789718.95
16384                5292.81         323047.22
32768                2960.11          90335.53
65536                5359.32          81776.79
131072               9634.70          73506.93
262144              11203.92          42739.56
524288              11458.38          21855.13
1048576             10974.64          10466.23
2097152             11019.62           5254.56
4194304             11021.92           2627.83
