4184286
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.42        3415424.48
2                       6.81        3405791.55
4                      13.70        3424206.79
8                      26.98        3372615.52
16                     54.71        3419682.09
32                    100.93        3154002.03
64                    203.04        3172536.93
128                   399.46        3120798.81
256                   805.68        3147188.60
512                  1505.82        2941061.59
1024                 2612.62        2551389.57
2048                 4111.04        2007343.74
4096                 5760.21        1406301.33
8192                 6556.57         800362.16
16384                5184.32         316425.98
32768                2872.62          87665.37
65536                5368.51          81916.97
131072               9492.10          72418.97
262144              11190.03          42686.59
524288              11449.83          21838.83
1048576             10948.06          10440.88
2097152             11006.98           5248.54
4194304             11014.33           2626.02
