4185262
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.36        3357243.20
2                       6.69        3345826.16
4                      13.71        3428493.68
8                      27.16        3394517.75
16                     54.33        3395546.10
32                    101.74        3179432.25
64                    203.47        3179260.10
128                   401.63        3137745.56
256                   809.96        3163903.03
512                  1501.09        2931823.20
1024                 2647.12        2585079.41
2048                 4146.12        2024471.43
4096                 5705.72        1392997.45
8192                 6740.29         822789.42
16384                5294.23         323134.01
32768                2960.35          90342.62
65536                5342.68          81522.89
131072               9644.50          73581.67
262144              11187.55          42677.13
524288              11440.47          21820.97
1048576             10942.14          10435.24
2097152             11002.22           5246.27
4194304             11028.47           2629.39
