4187019
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.37        3370047.54
2                       6.74        3371718.24
4                      12.61        3151777.80
8                      26.99        3374157.12
16                     54.64        3415203.95
32                    102.00        3187625.64
64                    206.69        3229547.13
128                   400.06        3125489.88
256                   790.12        3086413.80
512                  1510.10        2949422.93
1024                 2630.38        2568730.60
2048                 4162.98        2032703.66
4096                 5819.80        1420850.31
8192                 6670.58         814279.41
16384                5209.24         317946.72
32768                2872.47          87660.73
65536                5506.78          84026.76
131072               9493.45          72429.30
262144              11201.28          42729.48
524288              11465.07          21867.88
1048576             10978.99          10470.39
2097152             11024.46           5256.87
4194304             11035.88           2631.16
