4188087
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.39        3390320.74
2                       6.77        3386678.82
4                      13.74        3434139.64
8                      26.78        3347154.29
16                     54.59        3411921.25
32                    102.11        3191009.33
64                    206.15        3221025.24
128                   398.18        3110751.00
256                   794.72        3104369.89
512                  1498.53        2926815.44
1024                 2588.15        2527485.42
2048                 4122.49        2012936.89
4096                 5782.42        1411723.70
8192                 6577.80         802953.97
16384                5173.47         315763.71
32768                2871.29          87624.87
65536                5347.60          81597.91
131072               9488.96          72395.04
262144              11208.98          42758.87
524288              11464.39          21866.59
1048576             10944.26          10437.26
2097152             11050.40           5269.24
4194304             11029.97           2629.75
