4186043
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.39        3393293.90
2                       6.72        3360206.23
4                      13.59        3397043.83
8                      26.86        3357461.59
16                     53.97        3373335.47
32                    101.97        3186536.88
64                    205.53        3211419.81
128                   398.98        3116994.44
256                   791.44        3091548.48
512                  1339.78        2616764.96
1024                 2616.94        2555605.38
2048                 4127.42        2015343.06
4096                 5791.88        1414033.09
8192                 6580.16         803241.68
16384                5167.59         315404.42
32768                2961.63          90381.72
65536                5353.22          81683.67
131072               9538.86          72775.74
262144              11211.98          42770.30
524288              11458.77          21855.87
1048576             10968.93          10460.78
2097152             10930.27           5211.96
4194304             11020.80           2627.56
