4184672
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.18        3181003.05
2                       6.36        3181577.08
4                      12.89        3222507.60
8                      25.05        3131098.61
16                     51.66        3229053.41
32                    101.83        3182312.71
64                    205.18        3205963.09
128                   397.60        3106214.08
256                   799.06        3121343.70
512                  1443.86        2820046.65
1024                 2594.25        2533448.45
2048                 4144.14        2023504.91
4096                 5738.45        1400988.84
8192                 6483.55         791449.57
16384                5285.44         322597.59
32768                2955.77          90202.95
65536                5357.91          81755.25
131072               9611.62          73330.86
262144              11163.56          42585.62
524288              11368.17          21683.07
1048576             10998.94          10489.41
2097152             11008.97           5249.49
4194304             11059.23           2636.73
