4185160
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.36        3363199.24
2                       6.38        3188723.08
4                      13.56        3389762.28
8                      27.00        3374770.95
16                     54.10        3381137.69
32                    102.06        3189363.47
64                    203.35        3177299.78
128                   392.55        3066826.14
256                   785.38        3067889.03
512                  1480.65        2891897.27
1024                 2596.61        2535751.12
2048                 4047.04        1976092.98
4096                 5748.72        1403497.08
8192                 6472.70         790124.04
16384                5290.13         322884.05
32768                2875.15          87742.47
65536                5509.37          84066.33
131072               9487.60          72384.67
262144              11180.39          42649.80
524288              11467.10          21871.76
1048576             10828.63          10326.99
2097152             11047.37           5267.80
4194304             11018.77           2627.08
