4186617
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.40        3403236.16
2                       6.74        3367896.37
4                      13.62        3405363.87
8                      27.13        3390814.71
16                     54.63        3414105.38
32                    101.51        3172084.07
64                    202.63        3166145.98
128                   401.36        3135647.11
256                   794.91        3105112.42
512                  1493.28        2916559.95
1024                 2577.10        2516694.73
2048                 4152.02        2027353.43
4096                 5705.73        1393000.48
8192                 6553.16         799946.70
16384                5246.75         320236.05
32768                2923.36          89213.94
65536                5359.69          81782.35
131072               9637.13          73525.44
262144              11204.08          42740.19
524288              11456.30          21851.16
1048576             10973.40          10465.05
2097152             11013.75           5251.77
4194304             11012.26           2625.53
