4187504
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.39        3394890.48
2                       6.81        3404526.96
4                      13.66        3416097.18
8                      27.48        3434687.01
16                     54.84        3427553.57
32                    101.25        3164184.59
64                    202.97        3171477.32
128                   406.59        3176500.25
256                   799.49        3123000.85
512                  1526.37        2981200.73
1024                 2637.20        2575386.39
2048                 4202.93        2052214.10
4096                 5780.67        1411295.35
8192                 6632.69         809654.73
16384                5315.91         324457.58
32768                2782.62          84918.95
65536                5510.66          84086.04
131072               9489.30          72397.60
262144              11174.48          42627.26
524288              11440.16          21820.37
1048576             10954.88          10447.39
2097152             11002.38           5246.34
4194304             10938.04           2607.83
