3097314

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.72
4                       1.71
8                       1.71
16                      1.98
32                      1.99
64                      2.01
128                     2.60
256                     2.61
512                     2.78
1024                    2.88
2048                    3.11
4096                    3.76
8192                    4.87
16384                   6.00
32768                   8.29
65536                  12.27
131072                 19.88
262144                 38.44
524288                 69.10
1048576               133.59
2097152               265.94
4194304               581.49
