3096599

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.75
2                       1.75
4                       1.74
8                       1.74
16                      2.01
32                      2.01
64                      2.04
128                     2.64
256                     2.65
512                     2.81
1024                    2.90
2048                    3.15
4096                    3.86
8192                    4.95
16384                   6.13
32768                   8.50
65536                  12.79
131072                 20.89
262144                 40.65
524288                 72.80
1048576               140.82
2097152               281.29
4194304               619.94
