3096962

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.72
4                       1.72
8                       1.71
16                      1.99
32                      1.99
64                      2.01
128                     2.62
256                     2.62
512                     2.78
1024                    2.88
2048                    3.12
4096                    3.77
8192                    4.89
16384                   6.04
32768                   8.35
65536                  12.43
131072                 20.23
262144                 39.00
524288                 69.86
1048576               134.80
2097152               267.06
4194304               577.69
