3096892

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.75
2                       1.74
4                       1.73
8                       1.73
16                      2.00
32                      2.02
64                      2.04
128                     2.63
256                     2.64
512                     2.79
1024                    2.90
2048                    3.13
4096                    3.77
8192                    4.90
16384                   6.03
32768                   8.30
65536                  12.38
131072                 20.10
262144                 38.75
524288                 69.53
1048576               135.12
2097152               268.92
4194304               587.72
