3097880

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.72
4                       1.72
8                       1.71
16                      1.98
32                      2.00
64                      2.00
128                     2.62
256                     2.62
512                     2.78
1024                    2.88
2048                    3.12
4096                    3.76
8192                    4.87
16384                   6.01
32768                   8.43
65536                  12.32
131072                 20.29
262144                 39.00
524288                 69.48
1048576               133.68
2097152               267.92
4194304               602.57
