3096384

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.76
2                       1.75
4                       1.75
8                       1.75
16                      2.03
32                      2.03
64                      2.04
128                     2.65
256                     2.67
512                     2.83
1024                    2.92
2048                    3.17
4096                    3.85
8192                    4.96
16384                   6.18
32768                   8.59
65536                  12.91
131072                 21.17
262144                 40.85
524288                 73.77
1048576               141.99
2097152               281.14
4194304               621.31
