3096669

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.75
2                       1.74
4                       1.74
8                       1.73
16                      2.01
32                      2.02
64                      2.03
128                     2.65
256                     2.67
512                     2.80
1024                    2.90
2048                    3.14
4096                    3.80
8192                    4.93
16384                   6.13
32768                   8.45
65536                  12.62
131072                 20.47
262144                 39.73
524288                 71.59
1048576               138.24
2097152               273.36
4194304               605.14
