3097597

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.72
4                       1.73
8                       1.72
16                      1.99
32                      1.99
64                      2.01
128                     2.61
256                     2.63
512                     2.78
1024                    2.88
2048                    3.11
4096                    3.77
8192                    4.88
16384                   6.05
32768                   8.30
65536                  12.45
131072                 20.10
262144                 38.75
524288                 69.94
1048576               134.43
2097152               267.08
4194304               600.43
