3096315

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.75
2                       1.74
4                       1.73
8                       1.73
16                      2.01
32                      2.03
64                      2.05
128                     2.65
256                     2.66
512                     2.82
1024                    2.91
2048                    3.16
4096                    3.84
8192                    4.93
16384                   6.09
32768                   8.41
65536                  12.59
131072                 20.49
262144                 39.65
524288                 71.44
1048576               137.06
2097152               273.78
4194304               601.69
