3097523

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.73
4                       1.73
8                       1.72
16                      2.00
32                      2.00
64                      2.01
128                     2.61
256                     2.63
512                     2.79
1024                    2.89
2048                    3.12
4096                    3.77
8192                    4.89
16384                   6.00
32768                   8.31
65536                  12.41
131072                 20.29
262144                 39.19
524288                 70.35
1048576               134.81
2097152               265.17
4194304               583.42
