3097031

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.72
4                       1.72
8                       1.72
16                      2.00
32                      2.00
64                      2.02
128                     2.63
256                     2.63
512                     2.79
1024                    2.88
2048                    3.12
4096                    3.80
8192                    4.89
16384                   6.05
32768                   8.34
65536                  12.48
131072                 20.29
262144                 39.05
524288                 70.36
1048576               134.81
2097152               268.13
4194304               588.62
