3096752

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.74
2                       1.73
4                       1.73
8                       1.72
16                      1.99
32                      2.01
64                      2.02
128                     2.63
256                     2.64
512                     2.80
1024                    2.90
2048                    3.13
4096                    3.80
8192                    4.92
16384                   6.07
32768                   8.44
65536                  12.60
131072                 20.49
262144                 39.82
524288                 71.60
1048576               137.67
2097152               273.96
4194304               586.05
