3097806

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.73
4                       1.73
8                       1.73
16                      2.00
32                      2.01
64                      2.02
128                     2.62
256                     2.64
512                     2.81
1024                    2.89
2048                    3.13
4096                    3.79
8192                    4.90
16384                   6.04
32768                   8.32
65536                  12.47
131072                 20.28
262144                 39.07
524288                 69.72
1048576               135.80
2097152               269.83
4194304               605.88
