3097666

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.73
4                       1.73
8                       1.71
16                      1.98
32                      1.99
64                      2.00
128                     2.61
256                     2.62
512                     2.79
1024                    2.87
2048                    3.11
4096                    3.79
8192                    4.89
16384                   6.06
32768                   8.31
65536                  12.43
131072                 20.30
262144                 38.88
524288                 69.93
1048576               134.65
2097152               267.09
4194304               602.70
