3096162

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.77
2                       1.75
4                       1.74
8                       1.74
16                      2.03
32                      2.03
64                      2.05
128                     2.65
256                     2.68
512                     2.83
1024                    2.92
2048                    3.17
4096                    3.84
8192                    4.98
16384                   6.17
32768                   8.56
65536                  12.93
131072                 21.20
262144                 41.04
524288                 73.70
1048576               142.73
2097152               282.51
4194304               608.41
