3097455

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.73
4                       1.73
8                       1.73
16                      1.99
32                      2.00
64                      2.01
128                     2.62
256                     2.63
512                     2.81
1024                    2.90
2048                    3.13
4096                    3.80
8192                    4.90
16384                   6.06
32768                   8.34
65536                  12.41
131072                 20.19
262144                 38.64
524288                 69.40
1048576               132.27
2097152               264.31
4194304               588.83
