3097736

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.71
2                       1.71
4                       1.70
8                       1.70
16                      1.98
32                      1.98
64                      2.00
128                     2.61
256                     2.62
512                     2.78
1024                    2.87
2048                    3.11
4096                    3.76
8192                    4.87
16384                   5.99
32768                   8.23
65536                  12.24
131072                 19.98
262144                 38.51
524288                 69.11
1048576               133.39
2097152               265.16
4194304               586.64
