3096820

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.74
4                       1.73
8                       1.73
16                      2.00
32                      2.01
64                      2.03
128                     2.64
256                     2.65
512                     2.81
1024                    2.90
2048                    3.14
4096                    3.79
8192                    4.90
16384                   6.04
32768                   8.34
65536                  12.44
131072                 20.24
262144                 39.09
524288                 70.13
1048576               134.92
2097152               267.11
4194304               577.39
