3096236

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.75
2                       1.75
4                       1.75
8                       1.74
16                      2.01
32                      2.02
64                      2.03
128                     2.64
256                     2.67
512                     2.81
1024                    2.91
2048                    3.16
4096                    3.83
8192                    4.97
16384                   6.17
32768                   8.56
65536                  12.94
131072                 21.32
262144                 41.30
524288                 74.79
1048576               144.27
2097152               290.21
4194304               621.57
