3096526

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.74
2                       1.74
4                       1.73
8                       1.73
16                      2.00
32                      2.01
64                      2.03
128                     2.64
256                     2.64
512                     2.79
1024                    2.89
2048                    3.12
4096                    3.79
8192                    4.93
16384                   6.06
32768                   8.41
65536                  12.53
131072                 20.36
262144                 39.42
524288                 70.89
1048576               136.24
2097152               270.36
4194304               597.71
