3096456

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.74
2                       1.73
4                       1.72
8                       1.72
16                      2.00
32                      2.00
64                      2.02
128                     2.62
256                     2.64
512                     2.79
1024                    2.89
2048                    3.13
4096                    3.78
8192                    4.92
16384                   6.07
32768                   8.37
65536                  12.46
131072                 20.18
262144                 39.33
524288                 70.71
1048576               136.63
2097152               273.09
4194304               607.08
