3097383

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.74
4                       1.73
8                       1.73
16                      1.99
32                      2.00
64                      2.01
128                     2.61
256                     2.63
512                     2.79
1024                    2.87
2048                    3.11
4096                    3.77
8192                    4.88
16384                   6.00
32768                   8.25
65536                  12.31
131072                 20.01
262144                 38.71
524288                 69.31
1048576               133.52
2097152               266.10
4194304               591.98
