3097244

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.74
4                       1.73
8                       1.73
16                      2.01
32                      2.02
64                      2.03
128                     2.63
256                     2.65
512                     2.79
1024                    2.90
2048                    3.13
4096                    3.78
8192                    4.91
16384                   6.03
32768                   8.32
65536                  12.46
131072                 20.36
262144                 39.21
524288                 70.45
1048576               135.21
2097152               271.13
4194304               585.50
