
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.56              3.25              2.83             53.60
2                       4.73              3.37              2.88             52.96
4                       4.73              3.36              2.85             51.69
8                       4.70              3.36              2.86             52.97
16                      4.75              3.36              2.88             51.49
32                      4.58              3.34              2.90             57.09
64                      4.62              3.32              2.86             54.38
128                     5.07              3.63              3.10             53.56
256                     9.17              6.18              5.53             45.96
512                     9.30              6.26              5.59             45.54
1024                    9.65              6.48              5.70             44.28
2048                    9.82              6.67              5.94             46.90
4096                   10.06              6.75              6.10             45.76
8192                   10.87              7.49              6.73             49.72
16384                  12.53              8.79              7.97             53.03
32768                  20.26             14.51             13.26             56.62
65536                  23.64             17.27             15.89             59.91
131072                 32.81             24.90             23.10             65.79
262144                 50.26             39.61             36.88             71.13
