
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.57              3.27              2.78             53.33
2                       4.72              3.37              2.89             53.42
4                       4.73              3.36              2.87             52.14
8                       4.64              3.32              2.83             53.18
16                      4.71              3.35              2.87             52.65
32                      4.54              3.34              2.91             58.59
64                      4.58              3.29              2.85             55.03
128                     5.05              3.63              3.09             54.00
256                     9.16              6.16              5.45             45.00
512                     9.24              6.20              5.58             45.54
1024                    9.68              6.49              5.71             44.10
2048                    9.77              6.67              5.95             47.87
4096                   10.01              6.75              6.10             46.55
8192                   10.82              7.49              6.76             50.72
16384                  12.47              8.71              7.89             52.36
32768                  20.58             14.91             13.64             58.49
65536                  24.56             18.00             16.63             60.57
131072                 32.40             24.65             22.81             66.05
262144                 50.21             39.42             36.70             70.60
