
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.52              3.25              2.83             55.08
2                       4.75              3.32              2.81             49.44
4                       4.70              3.35              2.82             52.15
8                       4.73              3.37              2.84             52.21
16                      4.69              3.35              2.84             52.66
32                      4.73              3.49              2.95             58.04
64                      4.48              3.23              2.78             55.07
128                     5.04              3.63              3.12             55.05
256                     9.12              6.11              5.52             45.55
512                     9.21              6.18              5.48             44.71
1024                    9.73              6.57              5.74             44.97
2048                    9.76              6.66              5.84             46.84
4096                   10.04              6.75              6.09             45.91
8192                   10.82              7.49              6.72             50.43
16384                  12.28              8.61              7.77             52.71
32768                  20.17             14.59             13.41             58.39
65536                  23.50             17.20             15.86             60.28
131072                 32.77             24.92             23.14             66.06
262144                 50.45             39.86             37.10             71.47
