
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.55              3.26              2.80             54.19
2                       4.80              3.49              2.93             54.98
4                       4.70              3.35              2.85             52.88
8                       4.73              3.45              2.90             55.86
16                      4.71              3.35              2.84             52.28
32                      4.63              3.43              2.95             59.27
64                      4.57              3.27              2.82             53.96
128                     5.06              3.61              3.07             52.84
256                     9.17              6.21              5.60             47.11
512                     9.26              6.26              5.61             46.60
1024                    9.35              6.27              5.62             45.14
2048                    9.78              6.67              5.92             47.31
4096                    9.90              6.68              6.07             46.88
8192                   10.83              7.49              6.75             50.46
16384                  12.50              8.73              7.87             52.07
32768                  19.94             14.09             12.99             55.00
65536                  23.59             17.23             15.86             59.90
131072                 32.67             24.71             22.90             65.26
262144                 50.53             40.00             37.23             71.72
