
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.47              3.22              2.80             55.23
2                       6.99              3.85              3.29              4.61
4                       5.45              4.19              3.66             65.51
8                       4.73              3.36              2.84             52.04
16                      4.75              3.37              2.86             51.49
32                      4.68              3.46              2.94             58.43
64                      4.59              3.30              2.83             54.49
128                     5.07              3.64              3.09             54.03
256                     9.09              6.12              5.51             45.99
512                     9.20              6.17              5.56             45.55
1024                    9.37              6.25              5.59             44.19
2048                    9.78              6.66              5.86             46.72
4096                   10.14              6.89              6.14             47.04
8192                   10.80              7.49              6.73             50.88
16384                  12.59              8.72              7.86             50.74
32768                  19.96             14.11             13.01             55.02
65536                  23.52             17.22             15.83             60.21
131072                 33.14             25.15             23.28             65.69
262144                 50.18             39.48             36.77             70.90
