
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.51              3.24              2.83             55.10
2                       5.60              3.30              2.80             18.14
4                       7.44              3.71              3.24              0.00
8                       5.63              4.30              3.74             64.48
16                      4.63              3.33              2.80             53.41
32                      4.47              3.26              2.89             58.07
64                      4.45              3.23              2.78             56.18
128                     5.02              3.52              3.04             50.47
256                     9.09              6.08              5.41             44.29
512                     9.19              6.19              5.47             45.20
1024                    9.29              6.25              5.60             45.78
2048                    9.74              6.55              5.80             45.01
4096                    9.84              6.66              5.97             46.75
8192                   10.79              7.43              6.62             49.31
16384                  12.20              8.59              7.69             53.03
32768                  19.31             13.69             12.53             55.11
65536                  23.52             17.22             15.86             60.29
131072                 32.30             24.60             22.75             66.16
262144                 49.73             39.27             36.54             71.38
